pilot,zip,statefips,countyfips,EmbeddedDataBid,ExternalDataReference,stratas,groupn,language
0,53202,55,79,96,505403,2,2,English
0,75410,48,499,4,623941,2,2,English
0,92274,6,65,240,979649,1,1,Both
0,60609,17,31,16,414728,5,3,Both
0,60124,17,89,64,758535,2,2,English
0,40361,21,17,240,481354,2,2,English
0,7087,34,17,32,343193,1,1,Both
0,70401,22,105,16,915071,2,2,English
0,29588,45,51,240,585307,2,2,English
0,77022,48,201,4,272565,7,3,Both
0,43026,39,49,240,127506,2,2,English
0,60609,17,31,240,681350,5,3,Both
0,1840,25,9,16,429595,1,1,Both
0,33180,12,86,4,137853,2,2,English
0,71901,5,51,240,365865,2,2,English
0,78722,48,453,96,714981,2,2,English
0,75061,48,113,4,50533,7,3,Both
0,82501,56,13,32,170719,0,0,English
0,33012,12,86,96,813107,3,3,Both
0,44224,39,153,240,886231,2,2,English
0,78557,48,215,32,534761,7,3,Both
0,44425,39,155,240,273330,2,2,English
0,32828,12,95,64,925512,2,2,English
0,75229,48,113,16,916566,7,3,Both
0,77011,48,201,32,165257,7,3,Both
0,7047,34,17,4,929267,1,1,Both
0,60053,17,31,32,384605,2,2,English
0,37062,47,43,240,795862,2,2,English
0,75220,48,113,240,551853,7,3,Both
0,61021,17,103,240,746693,2,2,English
0,45891,39,161,64,551641,2,2,English
0,39540,28,47,4,293565,2,2,English
0,21046,24,27,32,955117,0,0,English
0,33013,12,86,16,575784,3,3,Both
0,7202,34,39,240,361627,1,1,Both
0,31032,13,169,64,423368,2,2,English
0,77081,48,201,4,408560,7,3,Both
0,93280,6,29,16,146211,1,1,Both
0,53143,55,59,64,96253,2,2,English
0,54929,55,135,32,703233,2,2,English
0,19143,42,101,240,980296,0,0,English
0,46303,18,89,16,46048,2,2,English
0,93905,6,53,32,94205,1,1,Both
0,36854,1,17,64,964393,2,2,English
0,33016,12,86,240,631086,3,3,Both
0,79934,48,141,16,756793,2,2,English
0,33010,12,86,240,455139,3,3,Both
0,37027,47,187,96,946783,2,2,English
0,28642,37,197,96,405911,0,0,English
0,46228,18,97,32,508028,2,2,English
0,33014,12,86,64,869233,3,3,Both
0,79905,48,141,32,247904,7,3,Both
0,38401,47,119,96,567756,2,2,English
0,85745,4,19,32,953799,0,0,English
0,7047,34,17,240,973704,1,1,Both
0,92236,6,65,16,827080,1,1,Both
0,77081,48,201,96,554996,7,3,Both
0,77060,48,201,16,783102,7,3,Both
0,19975,10,5,4,38726,2,2,English
0,50320,19,181,4,850034,2,2,English
0,29745,45,91,4,159371,2,2,English
0,65708,29,9,4,129519,2,2,English
0,79849,48,141,64,415611,7,3,Both
0,33142,12,86,240,9639,3,3,Both
0,77060,48,201,32,852930,7,3,Both
0,33130,12,86,16,246138,3,3,Both
0,92867,6,59,16,660197,0,0,English
0,78582,48,427,64,188482,7,3,Both
0,77093,48,201,64,364123,7,3,Both
0,78040,48,479,64,265667,2,2,English
0,33174,12,86,240,92592,3,3,Both
0,78244,48,29,32,248881,2,2,English
0,33126,12,86,4,546332,3,3,Both
0,75211,48,113,16,950138,7,3,Both
0,33010,12,86,240,810635,3,3,Both
0,37066,47,165,4,529240,2,2,English
0,78245,48,29,16,71133,2,2,English
0,33013,12,86,240,681444,3,3,Both
0,32811,12,95,96,560799,2,2,English
0,35242,1,117,16,624859,2,2,English
0,60641,17,31,96,17267,2,2,English
0,34238,12,115,64,525120,2,2,English
0,33142,12,86,32,720631,3,3,Both
0,77081,48,201,16,723527,7,3,Both
0,77039,48,201,96,71286,7,3,Both
0,95372,6,109,4,1002203,0,0,English
0,86406,4,15,240,553866,0,0,English
0,20783,24,33,16,47943,1,1,Both
0,10033,36,61,4,399343,1,1,Both
0,1841,25,9,4,883182,1,1,Both
0,37330,47,51,240,805903,2,2,English
0,30022,13,121,16,950844,2,2,English
0,48186,26,163,32,191048,0,0,English
0,77011,48,201,96,120820,7,3,Both
0,39567,28,59,240,764762,2,2,English
0,33308,12,11,240,370079,2,2,English
0,32780,12,9,16,196086,2,2,English
0,31204,13,21,4,272447,2,2,English
0,11368,36,81,32,311269,1,1,Both
0,29485,45,35,96,282641,2,2,English
0,60544,17,197,32,751790,2,2,English
0,60632,17,31,240,434810,2,2,English
0,65806,29,77,32,938602,2,2,English
0,53015,55,117,4,531406,2,2,English
0,77036,48,201,96,931551,7,3,Both
0,31061,13,9,96,23435,2,2,English
0,37214,47,37,16,41257,2,2,English
0,77478,48,157,96,264019,2,2,English
0,78520,48,61,240,720902,7,3,Both
0,33142,12,86,240,498446,3,3,Both
0,46807,18,3,16,767081,2,2,English
0,33165,12,86,240,553748,3,3,Both
0,79901,48,141,240,594183,7,3,Both
0,93640,6,19,64,662669,1,1,Both
0,76116,48,439,240,741290,2,2,English
0,78852,48,323,96,93687,7,3,Both
0,79905,48,141,32,301558,2,2,English
0,33141,12,86,64,8815,3,3,Both
0,70555,22,113,64,568792,2,2,English
0,33134,12,86,16,193308,3,3,Both
0,88063,35,13,4,225197,1,1,Both
0,30909,13,245,16,129919,2,2,English
0,17331,42,133,64,499882,0,0,English
0,79907,48,141,32,266338,7,3,Both
0,33126,12,86,16,831388,3,3,Both
0,33010,12,86,96,499576,3,3,Both
0,71047,22,17,32,853848,2,2,English
0,38018,47,157,96,282700,2,2,English
0,60623,17,31,64,42446,5,3,Both
0,79902,48,141,16,149813,7,3,Both
0,79905,48,141,96,941286,7,3,Both
0,42301,21,59,96,829281,2,2,English
0,37013,47,37,96,342275,2,2,English
0,35404,1,125,240,91615,2,2,English
0,79901,48,141,16,300734,7,3,Both
0,77076,48,201,64,305160,7,3,Both
0,33071,12,11,240,916966,2,2,English
0,78557,48,215,16,134828,7,3,Both
0,76164,48,439,16,972692,7,3,Both
0,47906,18,157,96,670638,2,2,English
0,33135,12,86,4,718159,3,3,Both
0,77039,48,201,96,737841,7,3,Both
0,79836,48,141,96,859981,7,3,Both
0,30033,13,89,16,462037,2,2,English
0,33172,12,86,64,848021,3,3,Both
0,33125,12,86,96,383722,3,3,Both
0,65084,29,141,32,137912,2,2,English
0,60062,17,31,16,944676,2,2,English
0,77095,48,201,16,591864,2,2,English
0,46307,18,89,16,917178,2,2,English
0,7823,34,41,96,148659,0,0,English
0,29466,45,19,4,682574,2,2,English
0,72205,5,119,96,828669,2,2,English
0,76123,48,439,4,296920,2,2,English
0,3303,33,13,32,572947,0,0,English
0,38824,28,81,32,603800,2,2,English
0,61201,17,161,32,62528,2,2,English
0,30008,13,67,64,701832,2,2,English
0,33020,12,11,96,747611,2,2,English
0,31904,13,215,16,584330,2,2,English
0,32110,12,35,96,15866,2,2,English
0,33014,12,86,64,43364,3,3,Both
0,33496,12,99,96,451384,2,2,English
0,71203,22,73,96,391868,2,2,English
0,38637,28,33,4,932469,2,2,English
0,39837,13,201,4,347219,2,2,English
0,30277,13,77,96,223890,2,2,English
0,33014,12,86,96,611828,3,3,Both
0,90057,6,37,240,574772,1,1,Both
0,78114,48,493,96,630380,2,2,English
0,77093,48,201,16,191107,7,3,Both
0,72715,5,7,4,38020,2,2,English
0,60609,17,31,16,50015,5,3,Both
0,38018,47,157,240,327137,2,2,English
0,60942,17,183,32,319933,2,2,English
0,33135,12,86,96,674546,3,3,Both
0,75833,48,289,16,526674,2,2,English
0,33071,12,11,16,1399,2,2,English
0,52241,19,103,64,895295,2,2,English
0,79849,48,141,64,309127,7,3,Both
0,93905,6,53,96,325607,1,1,Both
0,60659,17,31,32,293106,2,2,English
0,33141,12,86,96,480012,3,3,Both
0,28120,37,71,240,130072,0,0,English
0,77037,48,201,240,78855,7,3,Both
0,20783,24,33,96,30333,1,1,Both
0,75032,48,397,16,103363,2,2,English
0,33135,12,86,16,425534,3,3,Both
0,78040,48,479,16,798911,7,3,Both
0,77060,48,201,240,463650,7,3,Both
0,60623,17,31,96,256238,5,3,Both
0,33130,12,86,32,86000,3,3,Both
